Wavenumber,Intensity
650.4205,0.174158
652.2841,0.171099
654.1478,0.169901
656.0115,0.166518
657.8751,0.162974
659.7388,0.159818
661.6025,0.157718
663.4661,0.155156
665.3298,0.154352
667.1935,0.154029
669.0571,0.154101
670.9208,0.152605
672.7845,0.152652
674.6481,0.153120
676.5118,0.152566
678.3755,0.151598
680.2392,0.153002
682.1028,0.153672
683.9665,0.153086
685.8302,0.152345
687.6938,0.152494
689.5575,0.152731
691.4212,0.153263
693.2848,0.154164
695.1485,0.154595
697.0122,0.154754
698.8758,0.156280
700.7395,0.156803
702.6032,0.155994
704.4669,0.153535
706.3305,0.150768
708.1942,0.146551
710.0579,0.140297
711.9215,0.133990
713.7852,0.128405
715.6489,0.122594
717.5125,0.118127
719.3762,0.113992
721.2399,0.109572
723.1035,0.105322
724.9672,0.102045
726.8309,0.099138
728.6945,0.096389
730.5582,0.092995
732.4219,0.089413
734.2856,0.086776
736.1492,0.084713
738.0129,0.083234
739.8766,0.083801
741.7402,0.086130
743.6039,0.088347
745.4676,0.089181
747.3312,0.089259
749.1949,0.088844
751.0586,0.088391
752.9222,0.088171
754.7859,0.087734
756.6496,0.087010
758.5132,0.086772
760.3769,0.086513
762.2406,0.085855
764.1043,0.085468
765.9679,0.084931
767.8316,0.083892
769.6953,0.083225
771.5589,0.082853
773.4226,0.082828
775.2863,0.082674
777.1499,0.082209
779.0136,0.081858
780.8773,0.082175
782.7409,0.082939
784.6046,0.083988
786.4683,0.084794
788.3320,0.085700
790.1956,0.086736
792.0593,0.087909
793.9230,0.089142
795.7866,0.090546
797.6503,0.091917
799.5140,0.092952
801.3776,0.093696
803.2413,0.093908
805.1050,0.093391
806.9686,0.092557
808.8323,0.091202
810.6960,0.089312
812.5596,0.087257
814.4233,0.085022
816.2870,0.082770
818.1507,0.080567
820.0143,0.078731
821.8780,0.077908
823.7417,0.077628
825.6053,0.077955
827.4690,0.079411
829.3327,0.080312
831.1963,0.076755
833.0600,0.069031
834.9237,0.062040
836.7873,0.058741
838.6510,0.057823
840.5147,0.057427
842.3784,0.057252
844.2420,0.057182
846.1057,0.057214
847.9694,0.057427
849.8330,0.057621
851.6967,0.057534
853.5604,0.057332
855.4240,0.057368
857.2877,0.057628
859.1514,0.057864
861.0150,0.057661
862.8787,0.057188
864.7424,0.056633
866.6060,0.055928
868.4697,0.055219
870.3334,0.054646
872.1971,0.054131
874.0607,0.053678
875.9244,0.053508
877.7881,0.053596
879.6517,0.053743
881.5154,0.054072
883.3791,0.054637
885.2427,0.055349
887.1064,0.056197
888.9701,0.057045
890.8337,0.057865
892.6974,0.058703
894.5611,0.059604
896.4247,0.060517
898.2884,0.061695
900.1521,0.063167
902.0158,0.064850
903.8794,0.067114
905.7431,0.070191
907.6068,0.073874
909.4704,0.078187
911.3341,0.083432
913.1978,0.089361
915.0614,0.092562
916.9251,0.087650
918.7888,0.076985
920.6524,0.068438
922.5161,0.064507
924.3798,0.063160
926.2435,0.062889
928.1071,0.063162
929.9708,0.063551
931.8345,0.063831
933.6981,0.064075
935.5618,0.064216
937.4255,0.064337
939.2891,0.064345
941.1528,0.064340
943.0165,0.064606
944.8801,0.065120
946.7438,0.065795
948.6075,0.066607
950.4711,0.067657
952.3348,0.069085
954.1985,0.070889
956.0622,0.072831
957.9258,0.074759
959.7895,0.076725
961.6532,0.078880
963.5168,0.081394
965.3805,0.084252
967.2442,0.087551
969.1078,0.091328
970.9715,0.095360
972.8352,0.099839
974.6988,0.105961
976.5625,0.115233
978.4262,0.129200
980.2899,0.147171
982.1535,0.155197
984.0172,0.138280
985.8809,0.114456
987.7445,0.103722
989.6082,0.102555
991.4719,0.103556
993.3355,0.104608
995.1992,0.105368
997.0629,0.105915
998.9265,0.106197
1000.7902,0.106329
1002.6539,0.106438
1004.5175,0.106585
1006.3812,0.106808
1008.2449,0.107141
1010.1086,0.107586
1011.9722,0.107923
1013.8359,0.108111
1015.6996,0.108076
1017.5632,0.107861
1019.4269,0.107478
1021.2906,0.106747
1023.1542,0.105993
1025.0179,0.105326
1026.8816,0.104578
1028.7452,0.103893
1030.6089,0.103491
1032.4726,0.103209
1034.3362,0.103173
1036.1999,0.103814
1038.0636,0.104926
1039.9273,0.106402
1041.7909,0.108338
1043.6546,0.110445
1045.5183,0.112439
1047.3819,0.113559
1049.2456,0.112241
1051.1093,0.107032
1052.9729,0.098850
1054.8366,0.090813
1056.7003,0.085047
1058.5639,0.081602
1060.4276,0.079810
1062.2913,0.078850
1064.1550,0.078522
1066.0186,0.079217
1067.8823,0.081032
1069.7460,0.084058
1071.6096,0.087961
1073.4733,0.091662
1075.3370,0.094484
1077.2006,0.096224
1079.0643,0.097022
1080.9280,0.097448
1082.7916,0.097785
1084.6553,0.098096
1086.5190,0.098704
1088.3826,0.099652
1090.2463,0.101006
1092.1100,0.102991
1093.9737,0.105694
1095.8373,0.109120
1097.7010,0.113266
1099.5647,0.117855
1101.4283,0.122383
1103.2920,0.126265
1105.1557,0.128738
1107.0193,0.128710
1108.8830,0.125148
1110.7467,0.118164
1112.6103,0.109142
1114.4740,0.099811
1116.3377,0.091345
1118.2014,0.084506
1120.0650,0.079537
1121.9287,0.076169
1123.7924,0.073892
1125.6560,0.071988
1127.5197,0.070200
1129.3834,0.068543
1131.2470,0.067104
1133.1107,0.066081
1134.9744,0.065522
1136.8380,0.065554
1138.7017,0.066180
1140.5654,0.067119
1142.4290,0.068163
1144.2927,0.069191
1146.1564,0.070050
1148.0201,0.070570
1149.8837,0.070765
1151.7474,0.070701
1153.6111,0.070373
1155.4747,0.069816
1157.3384,0.069081
1159.2021,0.068326
1161.0657,0.067652
1162.9294,0.067123
1164.7931,0.067007
1166.6567,0.067535
1168.5204,0.068659
1170.3841,0.070033
1172.2477,0.070800
1174.1114,0.069703
1175.9751,0.066297
1177.8388,0.061924
1179.7024,0.058274
1181.5661,0.056082
1183.4298,0.055091
1185.2934,0.054752
1187.1571,0.054881
1189.0208,0.055172
1190.8844,0.055365
1192.7481,0.055523
1194.6118,0.055734
1196.4754,0.056095
1198.3391,0.056553
1200.2028,0.057044
1202.0665,0.057468
