Wavenumber,Intensity
650.4205,0.208758
652.2841,0.204231
654.1478,0.197192
656.0115,0.188817
657.8751,0.183130
659.7388,0.181113
661.6025,0.179580
663.4661,0.175082
665.3298,0.170606
667.1935,0.168800
669.0571,0.168951
670.9208,0.165881
672.7845,0.165597
674.6481,0.167340
676.5118,0.169288
678.3755,0.169971
680.2392,0.171764
682.1028,0.172628
683.9665,0.172882
685.8302,0.172666
687.6938,0.173048
689.5575,0.172852
691.4212,0.173573
693.2848,0.173025
695.1485,0.173559
697.0122,0.174881
698.8758,0.175794
700.7395,0.175608
702.6032,0.174873
704.4669,0.171311
706.3305,0.165945
708.1942,0.158130
710.0579,0.149342
711.9215,0.141617
713.7852,0.133829
715.6489,0.126168
717.5125,0.120306
719.3762,0.114146
721.2399,0.108544
723.1035,0.104729
724.9672,0.100866
726.8309,0.096079
728.6945,0.091465
730.5582,0.087543
732.4219,0.084749
734.2856,0.081637
736.1492,0.078537
738.0129,0.076732
739.8766,0.077964
741.7402,0.081024
743.6039,0.083594
745.4676,0.084727
747.3312,0.084868
749.1949,0.084813
751.0586,0.083697
752.9222,0.082368
754.7859,0.081946
756.6496,0.081679
758.5132,0.080903
760.3769,0.080150
762.2406,0.079613
764.1043,0.078920
765.9679,0.078795
767.8316,0.078808
769.6953,0.078778
771.5589,0.079078
773.4226,0.079531
775.2863,0.079978
777.1499,0.080717
779.0136,0.081580
780.8773,0.082141
782.7409,0.082892
784.6046,0.084264
786.4683,0.085862
788.3320,0.087736
790.1956,0.089628
792.0593,0.091618
793.9230,0.093597
795.7866,0.095310
797.6503,0.096703
799.5140,0.098011
801.3776,0.098713
803.2413,0.098749
805.1050,0.098377
806.9686,0.097710
808.8323,0.096445
810.6960,0.094201
812.5596,0.090934
814.4233,0.087766
816.2870,0.084881
818.1507,0.082129
820.0143,0.079781
821.8780,0.078356
823.7417,0.077718
825.6053,0.078534
827.4690,0.080868
829.3327,0.082116
831.1963,0.077676
833.0600,0.067729
834.9237,0.059006
836.7873,0.055476
838.6510,0.055039
840.5147,0.054681
842.3784,0.054221
844.2420,0.054230
846.1057,0.053780
847.9694,0.052396
849.8330,0.049813
851.6967,0.046613
853.5604,0.044320
855.4240,0.042874
857.2877,0.041934
859.1514,0.041265
861.0150,0.040659
862.8787,0.040344
864.7424,0.040525
866.6060,0.040651
868.4697,0.040599
870.3334,0.040650
872.1971,0.041069
874.0607,0.041696
875.9244,0.042266
877.7881,0.042936
879.6517,0.043814
881.5154,0.044900
883.3791,0.045715
885.2427,0.046113
887.1064,0.046060
888.9701,0.045408
890.8337,0.044854
892.6974,0.044731
894.5611,0.044944
896.4247,0.045612
898.2884,0.046704
900.1521,0.047994
902.0158,0.049780
903.8794,0.052333
905.7431,0.055804
907.6068,0.060039
909.4704,0.064740
911.3341,0.069944
913.1978,0.075642
915.0614,0.077990
916.9251,0.070397
918.7888,0.056638
920.6524,0.046480
922.5161,0.042205
924.3798,0.041214
926.2435,0.041306
928.1071,0.041541
929.9708,0.041852
931.8345,0.042332
933.6981,0.043010
935.5618,0.043934
937.4255,0.044909
939.2891,0.045848
941.1528,0.046782
943.0165,0.047673
944.8801,0.048234
946.7438,0.048534
948.6075,0.048726
950.4711,0.048905
952.3348,0.049412
954.1985,0.050266
956.0622,0.051211
957.9258,0.052282
959.7895,0.053440
961.6532,0.054754
963.5168,0.056402
965.3805,0.058340
967.2442,0.060573
969.1078,0.063183
970.9715,0.066111
972.8352,0.069719
974.6988,0.075274
976.5625,0.084720
978.4262,0.100790
980.2899,0.121902
982.1535,0.127984
984.0172,0.102312
985.8809,0.072029
987.7445,0.059499
989.6082,0.058200
991.4719,0.058110
993.3355,0.056626
995.1992,0.055046
997.0629,0.054206
998.9265,0.053948
1000.7902,0.054138
1002.6539,0.054601
1004.5175,0.055084
1006.3812,0.055694
1008.2449,0.056536
1010.1086,0.057354
1011.9722,0.058125
1013.8359,0.059173
1015.6996,0.060432
1017.5632,0.061590
1019.4269,0.062630
1021.2906,0.063761
1023.1542,0.064879
1025.0179,0.065992
1026.8816,0.067216
1028.7452,0.068599
1030.6089,0.070143
1032.4726,0.071857
1034.3362,0.073941
1036.1999,0.076372
1038.0636,0.078889
1039.9273,0.081538
1041.7909,0.084725
1043.6546,0.088583
1045.5183,0.092524
1047.3819,0.095590
1049.2456,0.095775
1051.1093,0.091208
1052.9729,0.083251
1054.8366,0.075841
1056.7003,0.071456
1058.5639,0.069893
1060.4276,0.069723
1062.2913,0.069475
1064.1550,0.069113
1066.0186,0.069195
1067.8823,0.069953
1069.7460,0.071459
1071.6096,0.073201
1073.4733,0.075067
1075.3370,0.077112
1077.2006,0.079289
1079.0643,0.081631
1080.9280,0.084233
1082.7916,0.087217
1084.6553,0.090439
1086.5190,0.093908
1088.3826,0.097539
1090.2463,0.101482
1092.1100,0.106006
1093.9737,0.111198
1095.8373,0.117011
1097.7010,0.123352
1099.5647,0.130045
1101.4283,0.136603
1103.2920,0.142339
1105.1557,0.146113
1107.0193,0.146211
1108.8830,0.141384
1110.7467,0.131989
1112.6103,0.120207
1114.4740,0.108144
1116.3377,0.097312
1118.2014,0.088692
1120.0650,0.082429
1121.9287,0.078293
1123.7924,0.075738
1125.6560,0.073896
1127.5197,0.072256
1129.3834,0.070513
1131.2470,0.068554
1133.1107,0.066474
1134.9744,0.064498
1136.8380,0.062886
1138.7017,0.061756
1140.5654,0.061194
1142.4290,0.060964
1144.2927,0.060936
1146.1564,0.061115
1148.0201,0.061528
1149.8837,0.062171
1151.7474,0.063052
1153.6111,0.064103
1155.4747,0.065201
1157.3384,0.065964
1159.2021,0.066143
1161.0657,0.066227
1162.9294,0.066799
1164.7931,0.068182
1166.6567,0.070515
1168.5204,0.073319
1170.3841,0.076170
1172.2477,0.078306
1174.1114,0.078111
1175.9751,0.074964
1177.8388,0.070536
1179.7024,0.066982
1181.5661,0.065075
1183.4298,0.064502
1185.2934,0.064420
1187.1571,0.064270
1189.0208,0.064069
1190.8844,0.063643
1192.7481,0.063070
1194.6118,0.062690
1196.4754,0.062581
1198.3391,0.062705
1200.2028,0.063028
1202.0665,0.063302
1203.9301,0.063357
1205.7938,0.063343
1207.6575,0.063394
1209.5211,0.063594
1211.3848,0.063910
1213.2485,0.064287
1215.1121,0.064788
1216.9758,0.065334
1218.8395,0.065879
1220.7031,0.066297
1222.5668,0.066548
1224.4305,0.066917
1226.2941,0.067468
1228.1578,0.068002
1230.0215,0.068572
1231.8852,0.069126
1233.7488,0.069658
1235.6125,0.070292
1237.4762,0.070921
1239.3398,0.071555
1241.2035,0.072339
1243.0672,0.073211
1244.9308,0.074135
1246.7945,0.075030
1248.6582,0.075983
1250.5218,0.077107
1252.3855,0.078438
1254.2492,0.079882
1256.1129,0.081324
1257.9765,0.082859
1259.8402,0.084434
1261.7039,0.085583
1263.5675,0.085978
1265.4312,0.085803
1267.2949,0.085210
1269.1585,0.084411
1271.0222,0.083890
1272.8859,0.084047
1274.7495,0.084824
1276.6132,0.086028
1278.4769,0.087632
1280.3405,0.089544
1282.2042,0.091659
1284.0679,0.094015
1285.9316,0.096773
1287.7952,0.100128
1289.6589,0.104092
1291.5226,0.108696
1293.3862,0.113635
1295.2499,0.118197
1297.1136,0.122423
1298.9772,0.127344
1300.8409,0.134159
1302.7046,0.141971
1304.5682,0.146555
1306.4319,0.142728
1308.2956,0.128063
1310.1592,0.106353
1312.0229,0.086602
1313.8866,0.075098
1315.7503,0.071700
1317.6139,0.072828
1319.4776,0.075894
1321.3413,0.079194
1323.2049,0.082506
1325.0686,0.086213
1326.9323,0.090247
1328.7959,0.094458
1330.6596,0.098081
1332.5233,0.100226
1334.3869,0.100083
1336.2506,0.098392
1338.1143,0.097549
1339.9780,0.098453
1341.8416,0.098539
1343.7053,0.097396
1345.5690,0.096930
1347.4326,0.097428
1349.2963,0.098978
1351.1600,0.101112
1353.0236,0.103378
1354.8873,0.106445
1356.7510,0.109558
1358.6146,0.111657
1360.4783,0.114078
1362.3420,0.119151
1364.2056,0.124468
1366.0693,0.127006
1367.9330,0.130943
1369.7967,0.136508
1371.6603,0.140879
1373.5240,0.147225
1375.3877,0.155337
1377.2513,0.160213
1379.1150,0.165404
1380.9787,0.172343
1382.8423,0.179266
1384.7060,0.185907
1386.5697,0.193765
1388.4333,0.202114
1390.2970,0.203341
1392.1607,0.200321
1394.0244,0.196611
1395.8880,0.190700
1397.7517,0.182082
1399.6154,0.172698
1401.4790,0.162901
1403.3427,0.152012
1405.2064,0.136797
1407.0700,0.118522
1408.9337,0.101976
1410.7974,0.088412
1412.6610,0.079701
