Wavenumber,Intensity
650.4205,0.257583
652.2841,0.251870
654.1478,0.250204
656.0115,0.254902
657.8751,0.257395
659.7388,0.255679
661.6025,0.255557
663.4661,0.258389
665.3298,0.261811
667.1935,0.267242
669.0571,0.269714
670.9208,0.261101
672.7845,0.250604
674.6481,0.242281
676.5118,0.237033
678.3755,0.232579
680.2392,0.228965
682.1028,0.226132
683.9665,0.222261
685.8302,0.217510
687.6938,0.214676
689.5575,0.212168
691.4212,0.208317
693.2848,0.204113
695.1485,0.202005
697.0122,0.201251
698.8758,0.200862
700.7395,0.200211
702.6032,0.198699
704.4669,0.195401
706.3305,0.189154
708.1942,0.181251
710.0579,0.172617
711.9215,0.162916
713.7852,0.153229
715.6489,0.145130
717.5125,0.138847
719.3762,0.133669
721.2399,0.128879
723.1035,0.123822
724.9672,0.119873
726.8309,0.116652
728.6945,0.113203
730.5582,0.110196
732.4219,0.107367
734.2856,0.104141
736.1492,0.101474
738.0129,0.100449
739.8766,0.101685
741.7402,0.104745
743.6039,0.107655
745.4676,0.109019
747.3312,0.108940
749.1949,0.107875
751.0586,0.106467
752.9222,0.105422
754.7859,0.104578
756.6496,0.103458
758.5132,0.102369
760.3769,0.101719
762.2406,0.101159
764.1043,0.100898
765.9679,0.100946
767.8316,0.100929
769.6953,0.101417
771.5589,0.102025
773.4226,0.102337
775.2863,0.102848
777.1499,0.103612
779.0136,0.105047
780.8773,0.106835
782.7409,0.108019
784.6046,0.109179
786.4683,0.110742
788.3320,0.112645
790.1956,0.114724
792.0593,0.116746
793.9230,0.118979
795.7866,0.121385
797.6503,0.123695
799.5140,0.125765
801.3776,0.127426
803.2413,0.128534
805.1050,0.128941
806.9686,0.128394
808.8323,0.127201
810.6960,0.125352
812.5596,0.122407
814.4233,0.119232
816.2870,0.116118
818.1507,0.113031
820.0143,0.110318
821.8780,0.108264
823.7417,0.107535
825.6053,0.108155
827.4690,0.109962
829.3327,0.111342
831.1963,0.107022
833.0600,0.096049
834.9237,0.085884
836.7873,0.081180
838.6510,0.079958
840.5147,0.079698
842.3784,0.079932
844.2420,0.080206
846.1057,0.080180
847.9694,0.080466
849.8330,0.080899
851.6967,0.081061
853.5604,0.081257
855.4240,0.081704
857.2877,0.082129
859.1514,0.082503
861.0150,0.082914
862.8787,0.083218
864.7424,0.083604
866.6060,0.084079
868.4697,0.084678
870.3334,0.085514
872.1971,0.086297
874.0607,0.086971
875.9244,0.087778
