Wavenumber,Intensity
650.4205,0.240499
652.2841,0.234607
654.1478,0.233630
656.0115,0.231983
657.8751,0.231405
659.7388,0.228638
661.6025,0.227436
663.4661,0.228946
665.3298,0.230206
667.1935,0.231624
669.0571,0.231703
670.9208,0.226276
672.7845,0.222861
674.6481,0.219479
676.5118,0.218321
678.3755,0.218246
680.2392,0.218258
682.1028,0.217681
683.9665,0.216286
685.8302,0.214707
687.6938,0.216021
689.5575,0.217358
691.4212,0.217572
693.2848,0.216655
695.1485,0.216662
697.0122,0.217247
698.8758,0.218788
700.7395,0.219412
702.6032,0.218760
704.4669,0.215611
706.3305,0.209304
708.1942,0.200389
710.0579,0.190164
711.9215,0.179763
713.7852,0.171216
715.6489,0.162750
717.5125,0.154521
719.3762,0.148119
721.2399,0.142803
723.1035,0.136784
724.9672,0.131349
726.8309,0.126238
728.6945,0.120752
730.5582,0.115448
732.4219,0.110481
734.2856,0.106035
736.1492,0.103265
738.0129,0.101779
739.8766,0.101823
741.7402,0.104328
743.6039,0.108006
745.4676,0.110275
747.3312,0.111007
749.1949,0.109730
751.0586,0.108114
752.9222,0.107267
754.7859,0.106937
756.6496,0.106772
758.5132,0.105774
760.3769,0.103811
762.2406,0.102391
764.1043,0.101662
765.9679,0.100901
767.8316,0.100277
769.6953,0.100553
771.5589,0.101042
773.4226,0.101202
775.2863,0.101542
777.1499,0.102611
779.0136,0.103854
780.8773,0.105277
782.7409,0.106706
784.6046,0.108168
786.4683,0.110504
788.3320,0.113569
790.1956,0.116235
792.0593,0.118390
793.9230,0.120427
795.7866,0.122217
797.6503,0.123739
799.5140,0.124973
801.3776,0.125890
803.2413,0.126311
805.1050,0.125972
806.9686,0.124899
808.8323,0.123092
810.6960,0.120400
812.5596,0.116765
814.4233,0.112909
816.2870,0.109487
818.1507,0.106384
820.0143,0.103399
821.8780,0.101012
823.7417,0.099940
825.6053,0.100452
827.4690,0.102691
829.3327,0.104422
831.1963,0.099010
833.0600,0.086214
834.9237,0.074915
836.7873,0.069516
838.6510,0.067550
840.5147,0.066730
842.3784,0.066875
844.2420,0.067659
846.1057,0.068601
847.9694,0.068780
849.8330,0.067266
851.6967,0.065284
853.5604,0.064522
855.4240,0.064467
857.2877,0.063965
859.1514,0.062790
861.0150,0.061671
862.8787,0.061010
864.7424,0.060773
866.6060,0.060841
868.4697,0.060947
870.3334,0.061163
872.1971,0.061506
874.0607,0.061651
875.9244,0.062046
877.7881,0.062773
879.6517,0.063375
881.5154,0.063629
883.3791,0.064172
885.2427,0.064808
887.1064,0.065334
888.9701,0.066222
890.8337,0.067165
892.6974,0.068205
894.5611,0.069844
896.4247,0.071669
898.2884,0.072957
900.1521,0.074012
902.0158,0.075851
903.8794,0.078797
905.7431,0.082987
907.6068,0.088383
909.4704,0.094306
911.3341,0.101320
913.1978,0.110175
915.0614,0.115488
916.9251,0.107946
918.7888,0.090938
920.6524,0.076999
922.5161,0.070635
924.3798,0.068840
926.2435,0.068697
928.1071,0.069056
929.9708,0.069512
931.8345,0.070292
933.6981,0.071282
935.5618,0.072241
937.4255,0.073293
939.2891,0.074311
941.1528,0.075259
943.0165,0.076403
944.8801,0.077573
946.7438,0.078733
948.6075,0.080023
950.4711,0.081242
952.3348,0.082465
954.1985,0.083853
956.0622,0.085241
957.9258,0.086706
959.7895,0.088351
961.6532,0.090075
963.5168,0.091996
965.3805,0.094375
967.2442,0.097227
969.1078,0.100576
970.9715,0.104116
972.8352,0.108200
974.6988,0.114615
976.5625,0.125726
978.4262,0.145071
980.2899,0.172104
982.1535,0.183453
984.0172,0.154439
985.8809,0.114813
987.7445,0.096237
989.6082,0.093206
991.4719,0.094124
993.3355,0.095720
995.1992,0.097356
997.0629,0.098581
998.9265,0.099499
1000.7902,0.100604
1002.6539,0.102000
1004.5175,0.103596
1006.3812,0.105420
1008.2449,0.107280
1010.1086,0.109073
1011.9722,0.110710
1013.8359,0.111885
1015.6996,0.112591
1017.5632,0.112973
1019.4269,0.112989
1021.2906,0.112555
