Wavenumber,Intensity
650.4205,0.272961
652.2841,0.268677
654.1478,0.261320
656.0115,0.254506
657.8751,0.250958
659.7388,0.244490
661.6025,0.239925
663.4661,0.236026
665.3298,0.232551
667.1935,0.230364
669.0571,0.231421
670.9208,0.232589
672.7845,0.233835
674.6481,0.234767
676.5118,0.236079
678.3755,0.235144
680.2392,0.234841
682.1028,0.234946
683.9665,0.235079
685.8302,0.234572
687.6938,0.235530
689.5575,0.234820
691.4212,0.234670
693.2848,0.235002
695.1485,0.236545
697.0122,0.237598
698.8758,0.238049
700.7395,0.237100
702.6032,0.235222
704.4669,0.231357
706.3305,0.224139
708.1942,0.214275
710.0579,0.204100
711.9215,0.192953
713.7852,0.181965
715.6489,0.172799
717.5125,0.164695
719.3762,0.156354
721.2399,0.148664
723.1035,0.142493
724.9672,0.137190
726.8309,0.130651
728.6945,0.124950
730.5582,0.120322
732.4219,0.115906
734.2856,0.111317
736.1492,0.107675
738.0129,0.105711
739.8766,0.106068
741.7402,0.108769
743.6039,0.111643
745.4676,0.113369
747.3312,0.114214
749.1949,0.113440
751.0586,0.111610
752.9222,0.110498
754.7859,0.110181
756.6496,0.109651
758.5132,0.108982
760.3769,0.107888
762.2406,0.106890
764.1043,0.106924
765.9679,0.107250
767.8316,0.107002
769.6953,0.106939
771.5589,0.107412
773.4226,0.108034
775.2863,0.109383
777.1499,0.110732
779.0136,0.111622
780.8773,0.113180
782.7409,0.115310
784.6046,0.117645
786.4683,0.120184
788.3320,0.123185
790.1956,0.126235
792.0593,0.128888
793.9230,0.131735
795.7866,0.135029
797.6503,0.137933
799.5140,0.140145
801.3776,0.141904
803.2413,0.143187
805.1050,0.143285
806.9686,0.142274
808.8323,0.140513
810.6960,0.137784
812.5596,0.133889
814.4233,0.129502
816.2870,0.125785
818.1507,0.122547
820.0143,0.119611
821.8780,0.117544
823.7417,0.116729
825.6053,0.117308
827.4690,0.119537
829.3327,0.120492
831.1963,0.112428
833.0600,0.096124
834.9237,0.082013
836.7873,0.074841
838.6510,0.071901
840.5147,0.070287
842.3784,0.069352
844.2420,0.069056
846.1057,0.068852
847.9694,0.068344
849.8330,0.067387
851.6967,0.065879
853.5604,0.064628
855.4240,0.063870
857.2877,0.063484
859.1514,0.063096
861.0150,0.062813
862.8787,0.062855
864.7424,0.062797
866.6060,0.062815
868.4697,0.063110
870.3334,0.063290
872.1971,0.063417
874.0607,0.063529
875.9244,0.063588
877.7881,0.063775
879.6517,0.064174
881.5154,0.064468
883.3791,0.064796
885.2427,0.065336
887.1064,0.065911
888.9701,0.066552
890.8337,0.067278
892.6974,0.068112
894.5611,0.069113
896.4247,0.070229
898.2884,0.071595
900.1521,0.073559
902.0158,0.076166
903.8794,0.079461
905.7431,0.083974
907.6068,0.089802
909.4704,0.096502
911.3341,0.104500
913.1978,0.114031
915.0614,0.118630
916.9251,0.108378
918.7888,0.088542
920.6524,0.073314
922.5161,0.066466
924.3798,0.064421
926.2435,0.064128
928.1071,0.064455
929.9708,0.065058
931.8345,0.065753
933.6981,0.066511
935.5618,0.067291
937.4255,0.068068
939.2891,0.068840
941.1528,0.069628
943.0165,0.070541
944.8801,0.071501
946.7438,0.072461
948.6075,0.073392
950.4711,0.074494
952.3348,0.075654
954.1985,0.076816
956.0622,0.078223
957.9258,0.079527
959.7895,0.080751
961.6532,0.082261
963.5168,0.084126
965.3805,0.086405
967.2442,0.089174
969.1078,0.092411
970.9715,0.095885
972.8352,0.099934
974.6988,0.106470
976.5625,0.118211
978.4262,0.138867
980.2899,0.168442
982.1535,0.180790
984.0172,0.147429
985.8809,0.102969
987.7445,0.082374
989.6082,0.078355
991.4719,0.078089
993.3355,0.078565
995.1992,0.079290
997.0629,0.079925
998.9265,0.080524
1000.7902,0.081143
1002.6539,0.081740
1004.5175,0.082245
1006.3812,0.082766
1008.2449,0.083411
1010.1086,0.084014
1011.9722,0.084432
1013.8359,0.084930
1015.6996,0.085728
1017.5632,0.086837
1019.4269,0.088218
1021.2906,0.089864
1023.1542,0.091644
1025.0179,0.093432
1026.8816,0.095374
1028.7452,0.097557
1030.6089,0.099693
1032.4726,0.101263
1034.3362,0.102199
1036.1999,0.103657
1038.0636,0.106667
1039.9273,0.111048
1041.7909,0.116348
1043.6546,0.122387
1045.5183,0.128463
1047.3819,0.132667
1049.2456,0.132328
1051.1093,0.125563
1052.9729,0.114027
1054.8366,0.102757
1056.7003,0.095509
1058.5639,0.092334
1060.4276,0.091529
1062.2913,0.091798
1064.1550,0.092679
1066.0186,0.094038
1067.8823,0.095763
1069.7460,0.097807
1071.6096,0.100087
1073.4733,0.102511
1075.3370,0.105016
1077.2006,0.107720
1079.0643,0.110652
1080.9280,0.113785
1082.7916,0.117298
1084.6553,0.121251
1086.5190,0.125590
1088.3826,0.130383
1090.2463,0.135794
1092.1100,0.141943
1093.9737,0.148926
1095.8373,0.156806
1097.7010,0.165494
1099.5647,0.174831
1101.4283,0.184361
1103.2920,0.193221
1105.1557,0.199756
1107.0193,0.201416
1108.8830,0.196163
1110.7467,0.183853
1112.6103,0.167211
1114.4740,0.149917
1116.3377,0.134287
1118.2014,0.121549
1120.0650,0.112196
1121.9287,0.105918
1123.7924,0.101723
1125.6560,0.098588
1127.5197,0.095791
1129.3834,0.092959
1131.2470,0.090248
1133.1107,0.087854
1134.9744,0.085931
1136.8380,0.084691
1138.7017,0.083985
1140.5654,0.083698
1142.4290,0.083753
1144.2927,0.083952
1146.1564,0.084168
1148.0201,0.084376
1149.8837,0.084734
1151.7474,0.085309
1153.6111,0.086074
1155.4747,0.087134
1157.3384,0.088461
1159.2021,0.090083
1161.0657,0.092112
1162.9294,0.094732
1164.7931,0.098184
1166.6567,0.102477
1168.5204,0.107575
1170.3841,0.112933
1172.2477,0.116736
1174.1114,0.116488
1175.9751,0.111409
1177.8388,0.104056
1179.7024,0.097852
1181.5661,0.094227
1183.4298,0.092557
1185.2934,0.091982
1187.1571,0.091918
1189.0208,0.091928
1190.8844,0.091841
1192.7481,0.091708
1194.6118,0.091720
1196.4754,0.091878
1198.3391,0.092162
1200.2028,0.092498
1202.0665,0.092825
1203.9301,0.093285
1205.7938,0.093788
1207.6575,0.094259
1209.5211,0.094794
1211.3848,0.095326
1213.2485,0.095830
1215.1121,0.096399
1216.9758,0.096967
1218.8395,0.097493
1220.7031,0.098049
1222.5668,0.098619
1224.4305,0.099255
1226.2941,0.099884
1228.1578,0.100427
1230.0215,0.101033
1231.8852,0.101652
1233.7488,0.102267
1235.6125,0.102951
1237.4762,0.103671
1239.3398,0.104410
1241.2035,0.105096
1243.0672,0.105823
1244.9308,0.106661
1246.7945,0.107523
1248.6582,0.108479
1250.5218,0.109540
1252.3855,0.110581
1254.2492,0.111637
1256.1129,0.112696
1257.9765,0.113838
1259.8402,0.115395
1261.7039,0.117072
