Wavenumber,Intensity
650.4205,0.207715
652.2841,0.207262
654.1478,0.205981
656.0115,0.200748
657.8751,0.197598
659.7388,0.197797
661.6025,0.200276
663.4661,0.200520
665.3298,0.200795
667.1935,0.202856
669.0571,0.202491
670.9208,0.197028
672.7845,0.195515
674.6481,0.193239
676.5118,0.191440
678.3755,0.189852
680.2392,0.188365
682.1028,0.186270
683.9665,0.183319
685.8302,0.182040
687.6938,0.182061
689.5575,0.180933
691.4212,0.180160
693.2848,0.178691
695.1485,0.178385
697.0122,0.180602
698.8758,0.182148
700.7395,0.180464
702.6032,0.179409
704.4669,0.177452
706.3305,0.173018
708.1942,0.165894
710.0579,0.157479
711.9215,0.148887
713.7852,0.141274
715.6489,0.134566
717.5125,0.128471
719.3762,0.122563
721.2399,0.117118
723.1035,0.112791
724.9672,0.108885
726.8309,0.104946
728.6945,0.101873
730.5582,0.098896
732.4219,0.095297
734.2856,0.091277
736.1492,0.088096
738.0129,0.086782
739.8766,0.087476
741.7402,0.090122
743.6039,0.093031
745.4676,0.093781
747.3312,0.092976
749.1949,0.092198
751.0586,0.091057
752.9222,0.089828
754.7859,0.089409
756.6496,0.089058
758.5132,0.088300
760.3769,0.087601
762.2406,0.087173
764.1043,0.086916
765.9679,0.086522
767.8316,0.085919
769.6953,0.085834
771.5589,0.086624
773.4226,0.087215
775.2863,0.087469
777.1499,0.088393
779.0136,0.089433
780.8773,0.090466
782.7409,0.091770
784.6046,0.093578
786.4683,0.095789
788.3320,0.097507
790.1956,0.098794
792.0593,0.100714
793.9230,0.102954
795.7866,0.104985
797.6503,0.106880
799.5140,0.108484
801.3776,0.109781
803.2413,0.110626
805.1050,0.110149
806.9686,0.108923
808.8323,0.106991
810.6960,0.104702
812.5596,0.102150
814.4233,0.099083
816.2870,0.095815
818.1507,0.092990
820.0143,0.090633
821.8780,0.088924
823.7417,0.088210
825.6053,0.088789
827.4690,0.090644
829.3327,0.091702
831.1963,0.086389
833.0600,0.074935
834.9237,0.064969
836.7873,0.060041
838.6510,0.058375
840.5147,0.057732
842.3784,0.057470
844.2420,0.057462
846.1057,0.057348
847.9694,0.057246
849.8330,0.057334
851.6967,0.057656
853.5604,0.058210
855.4240,0.058860
857.2877,0.059245
859.1514,0.058968
861.0150,0.058456
862.8787,0.058261
864.7424,0.058148
866.6060,0.058088
868.4697,0.058158
870.3334,0.058231
872.1971,0.058597
874.0607,0.059028
875.9244,0.059348
877.7881,0.059806
879.6517,0.060335
881.5154,0.060740
883.3791,0.061395
885.2427,0.062091
887.1064,0.062542
888.9701,0.063282
890.8337,0.064333
892.6974,0.065370
894.5611,0.066355
896.4247,0.067520
898.2884,0.069019
900.1521,0.071044
902.0158,0.073733
903.8794,0.076974
905.7431,0.080913
907.6068,0.085574
909.4704,0.090837
911.3341,0.096986
913.1978,0.104177
915.0614,0.107800
916.9251,0.100480
918.7888,0.085360
920.6524,0.073194
922.5161,0.067725
924.3798,0.066403
926.2435,0.066637
928.1071,0.067355
929.9708,0.068458
931.8345,0.069800
933.6981,0.071183
935.5618,0.072430
937.4255,0.073411
939.2891,0.074265
941.1528,0.075115
943.0165,0.076052
944.8801,0.077247
946.7438,0.078600
948.6075,0.079940
950.4711,0.081256
952.3348,0.082813
954.1985,0.084576
956.0622,0.086257
957.9258,0.087822
959.7895,0.089400
961.6532,0.091064
963.5168,0.092955
965.3805,0.095241
967.2442,0.097971
969.1078,0.101153
970.9715,0.104526
972.8352,0.108576
974.6988,0.114832
976.5625,0.124928
978.4262,0.141525
980.2899,0.163611
982.1535,0.171833
984.0172,0.147749
985.8809,0.116150
987.7445,0.101965
989.6082,0.100122
991.4719,0.101558
993.3355,0.103749
995.1992,0.106070
997.0629,0.108600
998.9265,0.111219
1000.7902,0.113679
1002.6539,0.115999
1004.5175,0.118180
1006.3812,0.120305
1008.2449,0.122349
1010.1086,0.123770
1011.9722,0.124135
1013.8359,0.123666
1015.6996,0.122864
1017.5632,0.121773
1019.4269,0.120551
1021.2906,0.119411
1023.1542,0.118250
1025.0179,0.117249
1026.8816,0.116543
1028.7452,0.116195
1030.6089,0.115978
1032.4726,0.115622
1034.3362,0.115557
1036.1999,0.115961
1038.0636,0.116648
1039.9273,0.117787
1041.7909,0.119417
1043.6546,0.121221
1045.5183,0.123020
1047.3819,0.123970
1049.2456,0.122133
1051.1093,0.115948
1052.9729,0.106644
1054.8366,0.097874
1056.7003,0.092211
1058.5639,0.089481
1060.4276,0.088501
1062.2913,0.088323
1064.1550,0.088398
1066.0186,0.088915
1067.8823,0.089901
1069.7460,0.091126
1071.6096,0.092560
1073.4733,0.094127
1075.3370,0.095672
1077.2006,0.097265
1079.0643,0.099092
1080.9280,0.101126
1082.7916,0.103347
1084.6553,0.105855
1086.5190,0.108637
1088.3826,0.111749
1090.2463,0.115303
1092.1100,0.119381
1093.9737,0.123945
1095.8373,0.128907
1097.7010,0.134356
1099.5647,0.140313
1101.4283,0.146363
1103.2920,0.151735
1105.1557,0.155555
1107.0193,0.156138
1108.8830,0.151893
1110.7467,0.143104
1112.6103,0.131566
1114.4740,0.119366
1116.3377,0.108124
1118.2014,0.098722
1120.0650,0.091611
1121.9287,0.086742
1123.7924,0.083537
1125.6560,0.081104
1127.5197,0.078800
1129.3834,0.076458
1131.2470,0.074065
1133.1107,0.071889
1134.9744,0.070183
1136.8380,0.068937
1138.7017,0.068156
1140.5654,0.067731
1142.4290,0.067536
1144.2927,0.067478
1146.1564,0.067362
1148.0201,0.067264
1149.8837,0.067350
1151.7474,0.067644
1153.6111,0.068188
1155.4747,0.068951
1157.3384,0.069796
1159.2021,0.070669
1161.0657,0.071666
1162.9294,0.073036
1164.7931,0.075079
1166.6567,0.077925
1168.5204,0.081516
1170.3841,0.085354
1172.2477,0.088118
1174.1114,0.088038
1175.9751,0.084540
1177.8388,0.079429
1179.7024,0.075048
1181.5661,0.072471
1183.4298,0.071451
