Wavenumber,Intensity
650.4205,0.214095
652.2841,0.210916
654.1478,0.207915
656.0115,0.206155
657.8751,0.206826
659.7388,0.206970
661.6025,0.206939
663.4661,0.208603
665.3298,0.211161
667.1935,0.212440
669.0571,0.213199
670.9208,0.210730
672.7845,0.208245
674.6481,0.203901
676.5118,0.200333
678.3755,0.197963
680.2392,0.198355
682.1028,0.198490
683.9665,0.197829
685.8302,0.196864
687.6938,0.196648
689.5575,0.195033
691.4212,0.193215
693.2848,0.193036
695.1485,0.195022
697.0122,0.196233
698.8758,0.196280
700.7395,0.196496
702.6032,0.197321
704.4669,0.195892
706.3305,0.191579
708.1942,0.185258
710.0579,0.177920
711.9215,0.170282
713.7852,0.163308
715.6489,0.157695
717.5125,0.153844
719.3762,0.149881
721.2399,0.146714
723.1035,0.144023
724.9672,0.141511
726.8309,0.139460
728.6945,0.137429
730.5582,0.135253
732.4219,0.133582
734.2856,0.130476
736.1492,0.124870
738.0129,0.118291
739.8766,0.113268
741.7402,0.110766
743.6039,0.109385
745.4676,0.106382
747.3312,0.101566
749.1949,0.096280
751.0586,0.092659
752.9222,0.091410
754.7859,0.090443
756.6496,0.089301
758.5132,0.089003
760.3769,0.088979
762.2406,0.088650
764.1043,0.088264
765.9679,0.088207
767.8316,0.088362
769.6953,0.088323
771.5589,0.088247
773.4226,0.088815
775.2863,0.089785
777.1499,0.090652
779.0136,0.091620
780.8773,0.093050
782.7409,0.094516
784.6046,0.096022
786.4683,0.097773
788.3320,0.099910
790.1956,0.102066
792.0593,0.104151
793.9230,0.106595
795.7866,0.109325
797.6503,0.111568
799.5140,0.113380
801.3776,0.114671
803.2413,0.115250
805.1050,0.115315
806.9686,0.114760
808.8323,0.113190
810.6960,0.110976
812.5596,0.108633
814.4233,0.106016
816.2870,0.102904
818.1507,0.100096
820.0143,0.097822
821.8780,0.096179
823.7417,0.095421
825.6053,0.096017
827.4690,0.098188
829.3327,0.099947
831.1963,0.095891
833.0600,0.085481
834.9237,0.076019
836.7873,0.071444
838.6510,0.070167
840.5147,0.070310
842.3784,0.071439
844.2420,0.073528
846.1057,0.075740
847.9694,0.075014
849.8330,0.070832
851.6967,0.067245
853.5604,0.066003
855.4240,0.065759
857.2877,0.065981
859.1514,0.066603
861.0150,0.067153
862.8787,0.067444
864.7424,0.067734
866.6060,0.068185
868.4697,0.068811
870.3334,0.069448
872.1971,0.070103
874.0607,0.070950
875.9244,0.071943
877.7881,0.073210
879.6517,0.074657
881.5154,0.076261
883.3791,0.078242
885.2427,0.080521
887.1064,0.083270
888.9701,0.086565
890.8337,0.089186
892.6974,0.089289
894.5611,0.086013
896.4247,0.081485
898.2884,0.079118
900.1521,0.079739
902.0158,0.082087
903.8794,0.085463
905.7431,0.089916
907.6068,0.095303
909.4704,0.101151
911.3341,0.107815
913.1978,0.115834
915.0614,0.120709
916.9251,0.114475
918.7888,0.099857
920.6524,0.088059
922.5161,0.083204
924.3798,0.082392
926.2435,0.082874
928.1071,0.083713
929.9708,0.084909
931.8345,0.086317
933.6981,0.087750
935.5618,0.089203
937.4255,0.090774
939.2891,0.092421
941.1528,0.094018
943.0165,0.095862
944.8801,0.097805
946.7438,0.099571
948.6075,0.101645
950.4711,0.104237
952.3348,0.106993
954.1985,0.109804
956.0622,0.112767
957.9258,0.115646
959.7895,0.117543
961.6532,0.117937
963.5168,0.117235
965.3805,0.116632
967.2442,0.117396
969.1078,0.119759
970.9715,0.123225
972.8352,0.127822
974.6988,0.134777
976.5625,0.146066
978.4262,0.164156
980.2899,0.187774
982.1535,0.196856
984.0172,0.171647
985.8809,0.138504
987.7445,0.124431
989.6082,0.123825
991.4719,0.126241
993.3355,0.129056
995.1992,0.131816
997.0629,0.134470
998.9265,0.137074
1000.7902,0.139728
1002.6539,0.142312
1004.5175,0.144855
1006.3812,0.147472
1008.2449,0.149766
1010.1086,0.151827
1011.9722,0.153670
1013.8359,0.155027
1015.6996,0.155963
1017.5632,0.156537
1019.4269,0.156517
1021.2906,0.156036
1023.1542,0.155629
1025.0179,0.155398
1026.8816,0.155373
1028.7452,0.155690
1030.6089,0.156231
1032.4726,0.156698
1034.3362,0.156424
1036.1999,0.154202
1038.0636,0.150042
1039.9273,0.146049
1041.7909,0.144535
1043.6546,0.145893
1045.5183,0.147743
1047.3819,0.146968
1049.2456,0.142094
1051.1093,0.132874
1052.9729,0.121248
1054.8366,0.111201
1056.7003,0.105314
1058.5639,0.103083
1060.4276,0.102761
1062.2913,0.103143
1064.1550,0.103846
1066.0186,0.104903
1067.8823,0.106517
1069.7460,0.108674
1071.6096,0.111095
1073.4733,0.113639
1075.3370,0.116143
1077.2006,0.118565
1079.0643,0.121155
1080.9280,0.123887
1082.7916,0.126793
1084.6553,0.130126
1086.5190,0.133779
1088.3826,0.137848
1090.2463,0.142555
1092.1100,0.147799
1093.9737,0.153591
1095.8373,0.159859
1097.7010,0.166185
1099.5647,0.172237
1101.4283,0.177715
1103.2920,0.182212
1105.1557,0.185197
1107.0193,0.185184
1108.8830,0.180304
1110.7467,0.170035
1112.6103,0.155957
1114.4740,0.140829
1116.3377,0.127050
1118.2014,0.115819
1120.0650,0.107533
1121.9287,0.102101
1123.7924,0.098685
1125.6560,0.096245
1127.5197,0.094217
1129.3834,0.092377
1131.2470,0.090643
1133.1107,0.089116
1134.9744,0.088054
1136.8380,0.087582
1138.7017,0.087548
1140.5654,0.087832
1142.4290,0.088459
1144.2927,0.089247
1146.1564,0.089945
1148.0201,0.090730
1149.8837,0.091584
1151.7474,0.092359
1153.6111,0.093271
1155.4747,0.094451
1157.3384,0.095860
1159.2021,0.097459
1161.0657,0.099257
1162.9294,0.101489
1164.7931,0.104305
1166.6567,0.107691
1168.5204,0.111598
1170.3841,0.115535
1172.2477,0.118150
1174.1114,0.117603
1175.9751,0.113559
1177.8388,0.108025
1179.7024,0.103347
1181.5661,0.100547
1183.4298,0.099178
1185.2934,0.098441
1187.1571,0.097878
