Wavenumber,Intensity
650.4205,0.221793
652.2841,0.236868
654.1478,0.252481
656.0115,0.265388
657.8751,0.281964
659.7388,0.298656
661.6025,0.318653
663.4661,0.338494
665.3298,0.356176
667.1935,0.366090
669.0571,0.360611
670.9208,0.334213
672.7845,0.308668
674.6481,0.286023
676.5118,0.269284
678.3755,0.259619
680.2392,0.255351
682.1028,0.246445
683.9665,0.232457
685.8302,0.215243
687.6938,0.199628
689.5575,0.187628
691.4212,0.177526
693.2848,0.167848
695.1485,0.159012
697.0122,0.151864
698.8758,0.149029
700.7395,0.147725
702.6032,0.145872
704.4669,0.145139
706.3305,0.143474
708.1942,0.138545
710.0579,0.133265
711.9215,0.128273
713.7852,0.124213
715.6489,0.120627
717.5125,0.118078
719.3762,0.117389
721.2399,0.117350
723.1035,0.117585
724.9672,0.118857
726.8309,0.120916
728.6945,0.124903
730.5582,0.131014
732.4219,0.140495
734.2856,0.155578
736.1492,0.180892
738.0129,0.217245
739.8766,0.252057
741.7402,0.271533
743.6039,0.255564
745.4676,0.192204
747.3312,0.138745
749.1949,0.120135
751.0586,0.113100
752.9222,0.111405
754.7859,0.105130
756.6496,0.090437
758.5132,0.082082
760.3769,0.081498
762.2406,0.084577
764.1043,0.090949
765.9679,0.097845
767.8316,0.099184
769.6953,0.095136
771.5589,0.092399
773.4226,0.093597
775.2863,0.097040
777.1499,0.101279
779.0136,0.104679
780.8773,0.106170
782.7409,0.105858
784.6046,0.106233
786.4683,0.108204
788.3320,0.110924
790.1956,0.113618
792.0593,0.115927
793.9230,0.118479
795.7866,0.121913
797.6503,0.126115
799.5140,0.131865
801.3776,0.137684
803.2413,0.139183
805.1050,0.136270
806.9686,0.133945
808.8323,0.132591
810.6960,0.132009
812.5596,0.131804
814.4233,0.131502
816.2870,0.131517
818.1507,0.132030
820.0143,0.132722
821.8780,0.133818
823.7417,0.135779
825.6053,0.138735
827.4690,0.142596
829.3327,0.146220
831.1963,0.146199
833.0600,0.142560
834.9237,0.139912
836.7873,0.140636
838.6510,0.141931
840.5147,0.142524
842.3784,0.144623
844.2420,0.150831
846.1057,0.160320
847.9694,0.168300
849.8330,0.169371
851.6967,0.164611
853.5604,0.164509
855.4240,0.171380
857.2877,0.175752
859.1514,0.175151
861.0150,0.175556
862.8787,0.179467
864.7424,0.182081
866.6060,0.179333
868.4697,0.174033
870.3334,0.171818
872.1971,0.174143
874.0607,0.178570
875.9244,0.181538
877.7881,0.181394
879.6517,0.180427
881.5154,0.182059
883.3791,0.184730
885.2427,0.186550
887.1064,0.188107
888.9701,0.190104
890.8337,0.192495
892.6974,0.195388
894.5611,0.198504
896.4247,0.202067
898.2884,0.205432
900.1521,0.208643
902.0158,0.212521
903.8794,0.217384
905.7431,0.223099
907.6068,0.229406
909.4704,0.236108
911.3341,0.244303
913.1978,0.254132
915.0614,0.262427
916.9251,0.263440
918.7888,0.257689
920.6524,0.250002
922.5161,0.243877
924.3798,0.241029
926.2435,0.241562
