Wavenumber,Intensity
650.4205,0.207215
652.2841,0.201504
654.1478,0.194198
656.0115,0.191895
657.8751,0.190824
659.7388,0.188400
661.6025,0.187151
663.4661,0.184325
665.3298,0.180794
667.1935,0.178316
669.0571,0.179884
670.9208,0.179917
672.7845,0.179048
674.6481,0.178321
676.5118,0.179586
678.3755,0.178347
680.2392,0.177601
682.1028,0.177951
683.9665,0.179763
685.8302,0.180347
687.6938,0.179750
689.5575,0.179899
691.4212,0.181642
693.2848,0.182190
695.1485,0.182814
697.0122,0.183182
698.8758,0.185192
700.7395,0.185375
702.6032,0.184492
704.4669,0.182633
706.3305,0.178878
708.1942,0.171748
710.0579,0.163731
711.9215,0.155933
713.7852,0.148538
715.6489,0.141182
717.5125,0.135193
719.3762,0.130341
721.2399,0.126272
723.1035,0.121854
724.9672,0.117594
726.8309,0.113181
728.6945,0.109253
730.5582,0.105629
732.4219,0.102861
734.2856,0.100641
736.1492,0.098109
738.0129,0.096296
739.8766,0.097102
741.7402,0.099820
743.6039,0.101917
745.4676,0.103305
747.3312,0.103848
749.1949,0.103834
751.0586,0.103557
752.9222,0.103162
754.7859,0.102842
756.6496,0.101822
758.5132,0.101104
760.3769,0.100964
762.2406,0.100507
764.1043,0.099875
765.9679,0.098950
767.8316,0.097918
769.6953,0.097249
771.5589,0.096723
773.4226,0.096358
775.2863,0.095693
777.1499,0.095865
779.0136,0.096393
780.8773,0.096940
782.7409,0.097216
784.6046,0.097890
786.4683,0.099060
788.3320,0.100714
790.1956,0.102287
792.0593,0.103586
793.9230,0.104644
795.7866,0.105891
797.6503,0.106846
799.5140,0.107640
801.3776,0.108361
803.2413,0.108719
805.1050,0.108036
806.9686,0.106796
808.8323,0.105241
810.6960,0.103371
812.5596,0.101082
814.4233,0.098607
816.2870,0.096153
818.1507,0.093978
820.0143,0.092131
821.8780,0.091060
823.7417,0.090666
825.6053,0.091349
827.4690,0.093623
829.3327,0.094725
831.1963,0.090379
833.0600,0.081412
834.9237,0.073704
836.7873,0.070169
838.6510,0.069301
840.5147,0.069280
842.3784,0.069060
844.2420,0.068877
846.1057,0.068894
847.9694,0.068826
849.8330,0.068254
851.6967,0.067880
853.5604,0.067846
855.4240,0.067530
857.2877,0.067268
859.1514,0.066950
861.0150,0.066332
862.8787,0.065901
864.7424,0.065454
866.6060,0.064781
868.4697,0.064403
870.3334,0.064174
872.1971,0.064003
874.0607,0.063996
875.9244,0.064007
877.7881,0.064355
879.6517,0.064833
881.5154,0.065655
883.3791,0.066451
885.2427,0.067194
887.1064,0.068289
888.9701,0.069514
890.8337,0.070649
892.6974,0.071685
894.5611,0.072622
896.4247,0.073866
898.2884,0.075255
900.1521,0.076876
902.0158,0.078989
903.8794,0.081747
905.7431,0.085216
907.6068,0.089357
909.4704,0.094040
911.3341,0.099836
913.1978,0.106565
915.0614,0.109426
916.9251,0.102605
918.7888,0.089903
920.6524,0.080492
922.5161,0.076773
924.3798,0.075844
926.2435,0.075744
928.1071,0.076065
929.9708,0.076399
931.8345,0.076651
933.6981,0.076924
935.5618,0.077092
937.4255,0.077244
939.2891,0.077295
