Wavenumber,Intensity
650.4205,0.256466
652.2841,0.275200
654.1478,0.296146
656.0115,0.318596
657.8751,0.346372
659.7388,0.378205
661.6025,0.412293
663.4661,0.440328
665.3298,0.462710
667.1935,0.475307
669.0571,0.460855
670.9208,0.418314
672.7845,0.376700
674.6481,0.339644
676.5118,0.313760
678.3755,0.294510
680.2392,0.280626
682.1028,0.265756
683.9665,0.247515
685.8302,0.227954
687.6938,0.210832
689.5575,0.194613
691.4212,0.180434
693.2848,0.167906
695.1485,0.156340
697.0122,0.147876
698.8758,0.143188
700.7395,0.139761
702.6032,0.138139
704.4669,0.136248
706.3305,0.133406
708.1942,0.129935
710.0579,0.126498
711.9215,0.122851
713.7852,0.119567
715.6489,0.117046
717.5125,0.114209
719.3762,0.110920
721.2399,0.107561
723.1035,0.105387
724.9672,0.104174
726.8309,0.102792
728.6945,0.101451
730.5582,0.100071
732.4219,0.099516
734.2856,0.099286
736.1492,0.098534
738.0129,0.098355
739.8766,0.099833
741.7402,0.102422
743.6039,0.105199
745.4676,0.107545
747.3312,0.108930
749.1949,0.109756
751.0586,0.110558
752.9222,0.110975
754.7859,0.111656
756.6496,0.113104
758.5132,0.114537
760.3769,0.115340
762.2406,0.116436
764.1043,0.117951
765.9679,0.119377
767.8316,0.120452
769.6953,0.121671
771.5589,0.123073
773.4226,0.125245
775.2863,0.127700
777.1499,0.130652
779.0136,0.133974
780.8773,0.136283
782.7409,0.136866
784.6046,0.137470
786.4683,0.139132
788.3320,0.140979
790.1956,0.142342
792.0593,0.144551
793.9230,0.147069
795.7866,0.149840
797.6503,0.152677
799.5140,0.155524
801.3776,0.158152
803.2413,0.160152
805.1050,0.161957
806.9686,0.163816
808.8323,0.165052
810.6960,0.166263
812.5596,0.167638
814.4233,0.168550
816.2870,0.168698
818.1507,0.169599
820.0143,0.171493
821.8780,0.173567
823.7417,0.176083
825.6053,0.179579
827.4690,0.183930
829.3327,0.188125
831.1963,0.188543
833.0600,0.184782
834.9237,0.181266
836.7873,0.180880
838.6510,0.182836
840.5147,0.185829
842.3784,0.189006
844.2420,0.192349
846.1057,0.195722
847.9694,0.199301
849.8330,0.202545
851.6967,0.206094
853.5604,0.209922
855.4240,0.213526
857.2877,0.216770
859.1514,0.220290
861.0150,0.223854
862.8787,0.227281
864.7424,0.230547
866.6060,0.234176
868.4697,0.237977
870.3334,0.241865
872.1971,0.245912
874.0607,0.250499
875.9244,0.255433
877.7881,0.260244
879.6517,0.264718
881.5154,0.269183
883.3791,0.273575
885.2427,0.277901
887.1064,0.281811
888.9701,0.285347
890.8337,0.288257
892.6974,0.291136
