Wavenumber,Intensity
650.4205,0.105808
652.2841,0.107044
654.1478,0.110199
656.0115,0.113110
657.8751,0.117641
659.7388,0.122583
661.6025,0.129479
663.4661,0.135719
665.3298,0.141231
667.1935,0.147922
669.0571,0.149706
670.9208,0.138588
672.7845,0.125705
674.6481,0.114972
676.5118,0.107112
678.3755,0.100252
680.2392,0.096212
682.1028,0.092986
683.9665,0.090367
685.8302,0.089662
687.6938,0.088785
689.5575,0.088000
691.4212,0.089118
693.2848,0.090561
695.1485,0.090560
697.0122,0.090545
698.8758,0.092231
700.7395,0.094604
702.6032,0.096598
704.4669,0.098676
706.3305,0.103142
708.1942,0.106837
710.0579,0.108592
711.9215,0.108777
713.7852,0.107248
715.6489,0.102374
717.5125,0.091458
719.3762,0.079509
721.2399,0.072387
723.1035,0.068721
724.9672,0.066192
726.8309,0.064715
728.6945,0.063528
730.5582,0.062628
732.4219,0.062197
734.2856,0.062020
736.1492,0.062190
738.0129,0.062342
739.8766,0.063214
741.7402,0.065569
743.6039,0.068213
745.4676,0.071047
747.3312,0.074047
749.1949,0.075975
751.0586,0.076562
752.9222,0.076476
754.7859,0.075823
756.6496,0.074499
758.5132,0.074091
760.3769,0.075675
762.2406,0.078752
764.1043,0.083391
765.9679,0.089373
767.8316,0.093364
769.6953,0.091869
771.5589,0.087658
773.4226,0.086517
775.2863,0.085835
777.1499,0.079428
779.0136,0.071032
780.8773,0.066258
782.7409,0.064124
784.6046,0.062346
786.4683,0.061083
788.3320,0.060015
790.1956,0.059572
792.0593,0.060252
793.9230,0.061213
795.7866,0.061954
797.6503,0.063636
799.5140,0.065687
801.3776,0.065457
803.2413,0.063444
805.1050,0.061767
806.9686,0.060706
808.8323,0.060524
810.6960,0.061059
812.5596,0.061608
814.4233,0.062376
816.2870,0.063887
818.1507,0.065974
820.0143,0.069038
821.8780,0.073012
823.7417,0.075429
825.6053,0.074959
827.4690,0.074043
829.3327,0.075938
831.1963,0.080826
833.0600,0.083333
834.9237,0.078812
836.7873,0.071899
838.6510,0.068748
840.5147,0.070504
842.3784,0.076058
844.2420,0.083583
846.1057,0.089098
847.9694,0.088027
849.8330,0.079343
851.6967,0.068503
853.5604,0.060755
855.4240,0.056718
857.2877,0.054709
859.1514,0.053346
861.0150,0.052625
862.8787,0.052825
864.7424,0.053478
866.6060,0.054190
868.4697,0.055074
870.3334,0.056432
872.1971,0.057307
874.0607,0.057090
875.9244,0.056647
877.7881,0.056594
879.6517,0.057069
881.5154,0.057848
883.3791,0.058850
885.2427,0.060503
887.1064,0.062509
888.9701,0.063852
890.8337,0.063335
892.6974,0.061973
894.5611,0.062008
896.4247,0.063839
898.2884,0.066798
900.1521,0.069792
902.0158,0.070577
903.8794,0.068762
905.7431,0.066675
907.6068,0.066619
909.4704,0.069245
911.3341,0.073732
913.1978,0.079306
915.0614,0.084756
916.9251,0.087236
918.7888,0.086113
920.6524,0.084666
922.5161,0.084208
924.3798,0.082397
926.2435,0.078350
928.1071,0.074134
929.9708,0.071389
931.8345,0.070043
933.6981,0.069700
935.5618,0.070575
937.4255,0.073030
939.2891,0.077410
941.1528,0.083315
943.0165,0.088021
944.8801,0.088412
946.7438,0.085350
948.6075,0.081117
950.4711,0.076535
952.3348,0.073598
954.1985,0.073522
956.0622,0.075442
957.9258,0.078554
959.7895,0.082456
961.6532,0.086738
963.5168,0.089898
965.3805,0.091286
967.2442,0.092344
969.1078,0.094314
970.9715,0.097015
972.8352,0.100170
974.6988,0.104132
976.5625,0.108980
978.4262,0.114871
980.2899,0.121748
982.1535,0.126601
984.0172,0.125523
985.8809,0.122642
987.7445,0.123053
989.6082,0.125577
991.4719,0.127424
993.3355,0.127843
995.1992,0.127486
997.0629,0.127337
998.9265,0.127578
1000.7902,0.127873
1002.6539,0.127581
1004.5175,0.126752
1006.3812,0.125141
1008.2449,0.122736
1010.1086,0.120775
1011.9722,0.120132
1013.8359,0.120631
1015.6996,0.121886
1017.5632,0.123372
1019.4269,0.124759
1021.2906,0.126259
1023.1542,0.128213
1025.0179,0.130311
1026.8816,0.131429
1028.7452,0.130935
1030.6089,0.129586
1032.4726,0.127974
1034.3362,0.125414
1036.1999,0.121482
1038.0636,0.117477
1039.9273,0.114882
1041.7909,0.114163
1043.6546,0.114748
1045.5183,0.115623
1047.3819,0.115749
1049.2456,0.114933
1051.1093,0.113374
1052.9729,0.111268
1054.8366,0.109244
1056.7003,0.108061
1058.5639,0.107948
1060.4276,0.108261
1062.2913,0.108392
1064.1550,0.107357
1066.0186,0.104566
1067.8823,0.101384
1069.7460,0.099369
1071.6096,0.099392
1073.4733,0.100645
1075.3370,0.102138
1077.2006,0.103480
1079.0643,0.104595
1080.9280,0.105380
1082.7916,0.105708
1084.6553,0.105228
1086.5190,0.103600
1088.3826,0.101148
1090.2463,0.099215
1092.1100,0.098742
1093.9737,0.099298
1095.8373,0.100596
1097.7010,0.102874
1099.5647,0.105760
1101.4283,0.108672
1103.2920,0.111215
1105.1557,0.112368
1107.0193,0.111671
1108.8830,0.110421
1110.7467,0.109514
1112.6103,0.108703
1114.4740,0.107838
1116.3377,0.107384
1118.2014,0.107721
1120.0650,0.108769
1121.9287,0.109975
1123.7924,0.111033
1125.6560,0.111846
1127.5197,0.112572
1129.3834,0.113048
1131.2470,0.113062
1133.1107,0.112513
1134.9744,0.111292
1136.8380,0.108817
1138.7017,0.105204
1140.5654,0.101684
1142.4290,0.098891
1144.2927,0.096324
1146.1564,0.093678
1148.0201,0.090910
1149.8837,0.088287
1151.7474,0.086272
1153.6111,0.084992
1155.4747,0.084463
1157.3384,0.084524
1159.2021,0.084785
1161.0657,0.085203
1162.9294,0.086067
1164.7931,0.087598
1166.6567,0.089499
1168.5204,0.091170
1170.3841,0.092065
1172.2477,0.092275
1174.1114,0.091856
1175.9751,0.090564
1177.8388,0.088530
1179.7024,0.086938
1181.5661,0.087062
1183.4298,0.088564
1185.2934,0.089762
1187.1571,0.089664
1189.0208,0.087203
1190.8844,0.081659
1192.7481,0.074639
1194.6118,0.068924
1196.4754,0.065592
1198.3391,0.063688
1200.2028,0.062339
1202.0665,0.061296
1203.9301,0.060325
1205.7938,0.059261
1207.6575,0.058070
1209.5211,0.057035
1211.3848,0.056789
1213.2485,0.057178
1215.1121,0.057636
1216.9758,0.057974
1218.8395,0.058181
1220.7031,0.058413
1222.5668,0.058959
1224.4305,0.059941
1226.2941,0.061213
1228.1578,0.062694
1230.0215,0.064329
1231.8852,0.066090
1233.7488,0.068087
1235.6125,0.070040
1237.4762,0.071496
1239.3398,0.071751
1241.2035,0.070426
1243.0672,0.068450
1244.9308,0.066917
1246.7945,0.066114
1248.6582,0.065595
1250.5218,0.064946
1252.3855,0.064582
1254.2492,0.064906
1256.1129,0.065740
1257.9765,0.066696
1259.8402,0.067632
1261.7039,0.068734
1263.5675,0.070131
1265.4312,0.071926
1267.2949,0.074177
1269.1585,0.076037
1271.0222,0.075770
1272.8859,0.073006
1274.7495,0.070380
1276.6132,0.069892
1278.4769,0.071276
1280.3405,0.073724
1282.2042,0.076755
1284.0679,0.080163
1285.9316,0.084365
1287.7952,0.089978
1289.6589,0.097031
1291.5226,0.105363
1293.3862,0.113562
1295.2499,0.117819
1297.1136,0.115052
1298.9772,0.108045
1300.8409,0.103497
1302.7046,0.104901
1304.5682,0.110909
1306.4319,0.117800
1308.2956,0.122043
1310.1592,0.123217
1312.0229,0.123459
1313.8866,0.123345
1315.7503,0.122133
1317.6139,0.120859
1319.4776,0.119873
1321.3413,0.119458
1323.2049,0.121958
1325.0686,0.128403
1326.9323,0.135725
1328.7959,0.138598
1330.6596,0.133625
1332.5233,0.124590
1334.3869,0.118076
1336.2506,0.116996
1338.1143,0.120509
1339.9780,0.125575
1341.8416,0.126916
1343.7053,0.125707
1345.5690,0.125899
1347.4326,0.128738
1349.2963,0.131719
1351.1600,0.130848
1353.0236,0.127146
1354.8873,0.126036
1356.7510,0.127752
1358.6146,0.127908
1360.4783,0.125378
1362.3420,0.121964
1364.2056,0.117076
1366.0693,0.113171
1367.9330,0.114411
1369.7967,0.120524
1371.6603,0.124835
1373.5240,0.125148
1375.3877,0.122591
1377.2513,0.123454
1379.1150,0.131658
1380.9787,0.143854
1382.8423,0.154442
1384.7060,0.161870
1386.5697,0.165955
1388.4333,0.166171
1390.2970,0.165187
1392.1607,0.166859
1394.0244,0.171483
1395.8880,0.175069
1397.7517,0.171513
1399.6154,0.165885
1401.4790,0.162379
1403.3427,0.161072
1405.2064,0.159062
1407.0700,0.152717
1408.9337,0.143831
1410.7974,0.135031
1412.6610,0.126445
1414.5247,0.117618
1416.3884,0.108706
1418.2520,0.101000
1420.1157,0.095136
1421.9794,0.091044
1423.8431,0.086767
1425.7067,0.081262
1427.5704,0.076299
1429.4341,0.072820
1431.2977,0.071110
1433.1614,0.071011
1435.0251,0.073795
1436.8887,0.081291
1438.7524,0.084041
1440.6161,0.080659
1442.4797,0.078187
1444.3434,0.077439
1446.2071,0.078867
1448.0707,0.083318
1449.9344,0.087617
1451.7981,0.089549
1453.6618,0.089742
1455.5254,0.089292
1457.3891,0.092678
1459.2528,0.093869
1461.1164,0.092211
1462.9801,0.093636
1464.8438,0.098949
1466.7074,0.101683
1468.5711,0.099051
1470.4348,0.096824
1472.2984,0.096512
1474.1621,0.095022
1476.0258,0.092221
1477.8895,0.090319
1479.7531,0.090999
1481.6168,0.094936
1483.4805,0.099379
1485.3441,0.102992
1487.2078,0.108673
1489.0715,0.118712
1490.9351,0.129665
1492.7988,0.132588
1494.6625,0.134702
1496.5261,0.144065
1498.3898,0.155696
1500.2535,0.161004
1502.1171,0.163063
1503.9808,0.163498
1505.8445,0.166923
1507.7082,0.181877
1509.5718,0.181420
1511.4355,0.175269
1513.2992,0.167702
1515.1628,0.158620
1517.0265,0.147162
1518.8902,0.135147
1520.7538,0.124604
1522.6175,0.112344
1524.4812,0.105039
1526.3448,0.098670
1528.2085,0.092929
1530.0722,0.088831
1531.9359,0.086865
1533.7995,0.087041
1535.6632,0.086524
1537.5269,0.085642
1539.3905,0.090321
1541.2542,0.103570
1543.1179,0.109656
1544.9815,0.116275
1546.8452,0.122165
1548.7089,0.127899
1550.5725,0.138179
1552.4362,0.145875
1554.2999,0.151483
1556.1635,0.157506
1558.0272,0.166524
1559.8909,0.196286
1561.7546,0.191641
1563.6182,0.186542
1565.4819,0.188662
1567.3456,0.190965
1569.2092,0.194758
1571.0729,0.200325
1572.9366,0.198503
1574.8002,0.196378
1576.6639,0.199544
1578.5276,0.200855
1580.3912,0.197636
1582.2549,0.194034
1584.1186,0.188920
1585.9822,0.181734
1587.8459,0.172795
1589.7096,0.163281
1591.5733,0.154203
1593.4369,0.146963
1595.3006,0.141586
1597.1643,0.138477
1599.0279,0.137495
1600.8916,0.138370
1602.7553,0.140509
1604.6189,0.142718
1606.4826,0.143099
1608.3463,0.140970
1610.2099,0.136047
1612.0736,0.129050
1613.9373,0.120687
1615.8010,0.112537
1617.6646,0.105868
1619.5283,0.102899
1621.3920,0.100041
1623.2556,0.096597
1625.1193,0.093330
1626.9830,0.089723
1628.8466,0.084676
1630.7103,0.079848
1632.5740,0.074453
1634.4376,0.067513
1636.3013,0.059238
1638.1650,0.055801
1640.0286,0.053348
1641.8923,0.049948
1643.7560,0.046103
1645.6197,0.042508
1647.4833,0.039498
1649.3470,0.038883
1651.2107,0.037908
1653.0743,0.036489
1654.9380,0.038712
1656.8017,0.039635
1658.6653,0.039474
1660.5290,0.039240
1662.3927,0.038756
1664.2563,0.038715
1666.1200,0.038148
1667.9837,0.037203
1669.8474,0.036718
1671.7110,0.036921
1673.5747,0.037122
1675.4384,0.037531
1677.3020,0.038344
1679.1657,0.038338
1681.0294,0.038094
1682.8930,0.037630
1684.7567,0.038141
1686.6204,0.040112
1688.4840,0.039431
1690.3477,0.038891
1692.2114,0.038120
1694.0750,0.036566
1695.9387,0.033890
1697.8024,0.032464
1699.6661,0.030996
1701.5297,0.030599
1703.3934,0.030726
1705.2571,0.029365
1707.1207,0.027955
1708.9844,0.027031
1710.8481,0.025990
1712.7117,0.024840
1714.5754,0.023268
1716.4391,0.021923
1718.3027,0.021798
1720.1664,0.022591
1722.0301,0.022131
1723.8937,0.021379
1725.7574,0.020669
1727.6211,0.019698
1729.4848,0.018474
1731.3484,0.017385
1733.2121,0.016324
1735.0758,0.016176
1736.9394,0.016980
1738.8031,0.016704
1740.6668,0.016543
1742.5304,0.016262
1744.3941,0.015861
1746.2578,0.015389
1748.1214,0.014512
1749.9851,0.014056
1751.8488,0.014061
1753.7125,0.013999
1755.5761,0.013331
1757.4398,0.012635
1759.3035,0.012274
1761.1671,0.011618
1763.0308,0.011359
1764.8945,0.011166
1766.7581,0.010510
1768.6218,0.009791
1770.4855,0.009235
1772.3491,0.008626
1774.2128,0.009073
1776.0765,0.009137
1777.9401,0.009047
1779.8038,0.008650
1781.6675,0.008619
1783.5312,0.009041
1785.3948,0.009047
1787.2585,0.008787
1789.1222,0.008379
1790.9858,0.007944
1792.8495,0.007966
1794.7132,0.008492
1796.5768,0.008474
1798.4405,0.008330
1800.3042,0.008099
1802.1678,0.008276
1804.0315,0.008503
1805.8952,0.008496
1807.7589,0.008348
1809.6225,0.008132
1811.4862,0.008172
1813.3499,0.008469
1815.2135,0.008315
1817.0772,0.008124
1818.9409,0.008250
1820.8045,0.008346
1822.6682,0.008147
1824.5319,0.007722
1826.3955,0.007737
1828.2592,0.007856
1830.1229,0.007680
1831.9865,0.007922
1833.8502,0.007827
1835.7139,0.007872
1837.5776,0.007862
1839.4412,0.007981
1841.3049,0.007972
1843.1686,0.007328
1845.0322,0.006994
1846.8959,0.007820
1848.7596,0.008015
1850.6232,0.007817
1852.4869,0.007731
1854.3506,0.007886
1856.2142,0.007912
1858.0779,0.007981
1859.9416,0.007853
1861.8052,0.007750
1863.6689,0.007799
1865.5326,0.007590
1867.3963,0.006745
1869.2599,0.006572
1871.1236,0.007372
1872.9873,0.007432
1874.8509,0.007210
1876.7146,0.007483
1878.5783,0.007746
1880.4419,0.007897
