Wavenumber,Intensity
650.4205,0.130867
652.2841,0.131624
654.1478,0.132478
656.0115,0.135380
657.8751,0.139734
659.7388,0.142839
661.6025,0.147201
663.4661,0.149102
665.3298,0.149169
667.1935,0.151533
669.0571,0.153211
670.9208,0.147229
672.7845,0.140583
674.6481,0.135099
676.5118,0.131912
678.3755,0.128590
680.2392,0.125617
682.1028,0.122219
683.9665,0.119925
685.8302,0.116894
687.6938,0.115467
689.5575,0.113896
691.4212,0.111764
693.2848,0.109348
695.1485,0.107083
697.0122,0.105137
698.8758,0.103440
700.7395,0.102704
702.6032,0.101906
704.4669,0.099457
706.3305,0.097547
708.1942,0.096112
710.0579,0.094509
711.9215,0.092353
713.7852,0.090222
715.6489,0.088086
717.5125,0.086009
719.3762,0.084280
721.2399,0.083898
723.1035,0.082957
724.9672,0.080947
726.8309,0.079404
728.6945,0.078752
730.5582,0.077972
732.4219,0.077225
734.2856,0.076086
736.1492,0.075544
738.0129,0.075924
739.8766,0.075904
741.7402,0.075752
743.6039,0.076124
745.4676,0.076020
747.3312,0.075059
749.1949,0.074240
751.0586,0.074339
752.9222,0.073841
754.7859,0.073055
756.6496,0.072617
758.5132,0.072206
760.3769,0.071991
762.2406,0.071629
764.1043,0.071128
765.9679,0.071174
767.8316,0.071390
769.6953,0.071400
771.5589,0.071454
773.4226,0.071940
775.2863,0.072299
777.1499,0.072845
779.0136,0.073078
780.8773,0.072623
782.7409,0.072454
784.6046,0.072675
786.4683,0.072756
788.3320,0.072777
790.1956,0.072942
792.0593,0.073133
793.9230,0.073031
795.7866,0.072821
797.6503,0.072839
799.5140,0.072934
801.3776,0.072862
803.2413,0.072845
805.1050,0.072800
806.9686,0.072812
808.8323,0.072853
810.6960,0.072401
812.5596,0.071197
814.4233,0.069810
816.2870,0.068503
818.1507,0.067236
820.0143,0.066432
821.8780,0.066132
823.7417,0.065951
825.6053,0.065920
827.4690,0.065934
829.3327,0.066229
831.1963,0.065857
833.0600,0.064232
834.9237,0.062516
836.7873,0.061472
838.6510,0.061321
840.5147,0.061491
842.3784,0.061893
844.2420,0.062461
846.1057,0.062787
847.9694,0.063244
849.8330,0.063314
851.6967,0.062725
853.5604,0.062559
855.4240,0.062598
857.2877,0.062521
859.1514,0.062610
861.0150,0.062761
862.8787,0.062811
864.7424,0.062851
866.6060,0.063063
868.4697,0.063436
870.3334,0.063863
872.1971,0.064182
874.0607,0.064644
875.9244,0.065153
877.7881,0.065472
879.6517,0.065541
881.5154,0.065886
883.3791,0.066057
885.2427,0.065962
887.1064,0.066348
888.9701,0.066883
890.8337,0.067407
892.6974,0.067920
894.5611,0.068600
896.4247,0.069535
898.2884,0.070575
900.1521,0.071715
902.0158,0.073000
903.8794,0.074043
905.7431,0.074896
907.6068,0.076262
909.4704,0.078090
911.3341,0.079922
913.1978,0.081769
915.0614,0.083490
916.9251,0.083721
918.7888,0.082288
920.6524,0.080969
922.5161,0.080578
924.3798,0.080963
926.2435,0.081701
928.1071,0.082203
929.9708,0.082487
931.8345,0.082975
933.6981,0.083790
935.5618,0.084533
937.4255,0.085291
939.2891,0.086067
941.1528,0.086803
943.0165,0.087623
944.8801,0.088582
946.7438,0.089672
948.6075,0.090976
950.4711,0.092101
952.3348,0.093364
954.1985,0.094775
956.0622,0.096204
957.9258,0.097638
959.7895,0.098975
961.6532,0.100482
963.5168,0.102194
965.3805,0.103910
967.2442,0.105791
969.1078,0.107651
970.9715,0.109399
972.8352,0.111117
974.6988,0.113008
976.5625,0.115288
978.4262,0.118621
980.2899,0.122747
982.1535,0.124720
984.0172,0.121728
985.8809,0.117684
987.7445,0.116749
989.6082,0.118233
991.4719,0.120455
993.3355,0.122866
995.1992,0.125238
997.0629,0.127709
998.9265,0.130373
1000.7902,0.133070
1002.6539,0.135669
1004.5175,0.138473
1006.3812,0.141422
1008.2449,0.143796
1010.1086,0.145527
1011.9722,0.146517
1013.8359,0.146359
1015.6996,0.145452
1017.5632,0.144138
1019.4269,0.142421
1021.2906,0.140034
1023.1542,0.137457
1025.0179,0.135343
1026.8816,0.133494
1028.7452,0.131626
1030.6089,0.129945
1032.4726,0.128332
1034.3362,0.126938
1036.1999,0.125660
1038.0636,0.124333
1039.9273,0.122975
1041.7909,0.121684
1043.6546,0.120457
1045.5183,0.119138
1047.3819,0.117395
1049.2456,0.115058
1051.1093,0.112303
1052.9729,0.109495
1054.8366,0.107284
1056.7003,0.105968
1058.5639,0.105353
1060.4276,0.105306
1062.2913,0.105585
1064.1550,0.105722
1066.0186,0.105763
1067.8823,0.106126
1069.7460,0.106710
1071.6096,0.107396
1073.4733,0.108165
1075.3370,0.108788
1077.2006,0.109427
1079.0643,0.110085
1080.9280,0.110249
1082.7916,0.109933
1084.6553,0.109499
1086.5190,0.109014
1088.3826,0.108286
1090.2463,0.107685
1092.1100,0.107441
1093.9737,0.107401
1095.8373,0.107540
1097.7010,0.107642
1099.5647,0.107712
1101.4283,0.107816
1103.2920,0.107603
1105.1557,0.106955
1107.0193,0.105797
1108.8830,0.104004
1110.7467,0.101385
1112.6103,0.098214
1114.4740,0.095243
1116.3377,0.092585
1118.2014,0.090138
1120.0650,0.088191
1121.9287,0.086757
1123.7924,0.085465
1125.6560,0.084308
1127.5197,0.083309
1129.3834,0.082364
1131.2470,0.081388
1133.1107,0.080314
1134.9744,0.079275
1136.8380,0.078267
1138.7017,0.077432
1140.5654,0.076885
1142.4290,0.076509
1144.2927,0.076156
1146.1564,0.075865
1148.0201,0.075712
1149.8837,0.075590
1151.7474,0.075526
1153.6111,0.075637
1155.4747,0.075800
1157.3384,0.075975
1159.2021,0.075959
1161.0657,0.075829
1162.9294,0.075749
1164.7931,0.075531
1166.6567,0.075251
1168.5204,0.075032
1170.3841,0.074752
1172.2477,0.074466
1174.1114,0.074150
1175.9751,0.073517
1177.8388,0.072668
1179.7024,0.072133
1181.5661,0.071987
1183.4298,0.072126
1185.2934,0.072446
1187.1571,0.072660
1189.0208,0.072792
1190.8844,0.072961
1192.7481,0.073107
1194.6118,0.073193
1196.4754,0.073337
1198.3391,0.073485
1200.2028,0.073448
1202.0665,0.073173
1203.9301,0.072683
1205.7938,0.072005
1207.6575,0.071281
1209.5211,0.070854
1211.3848,0.070792
1213.2485,0.071038
1215.1121,0.071461
1216.9758,0.071998
1218.8395,0.072695
1220.7031,0.073301
1222.5668,0.073828
1224.4305,0.074406
1226.2941,0.074930
1228.1578,0.075293
1230.0215,0.075430
1231.8852,0.075342
1233.7488,0.075168
1235.6125,0.074917
1237.4762,0.074648
