Wavenumber,Intensity
650.4205,0.145613
652.2841,0.143697
654.1478,0.140594
656.0115,0.134977
657.8751,0.129792
659.7388,0.130532
661.6025,0.133514
663.4661,0.133815
665.3298,0.133084
667.1935,0.132048
669.0571,0.134308
670.9208,0.135248
672.7845,0.135321
674.6481,0.133425
676.5118,0.129387
678.3755,0.124306
680.2392,0.120748
682.1028,0.115393
683.9665,0.109053
685.8302,0.102246
687.6938,0.095830
689.5575,0.092222
691.4212,0.089309
693.2848,0.085642
695.1485,0.083020
697.0122,0.081358
698.8758,0.079169
700.7395,0.077054
702.6032,0.076844
704.4669,0.076374
706.3305,0.075586
708.1942,0.075366
710.0579,0.074390
711.9215,0.072572
713.7852,0.072452
715.6489,0.072426
717.5125,0.071936
719.3762,0.071818
721.2399,0.070791
723.1035,0.069511
724.9672,0.068567
726.8309,0.067562
728.6945,0.065886
730.5582,0.063612
732.4219,0.061847
734.2856,0.060982
736.1492,0.060513
738.0129,0.059849
739.8766,0.059909
741.7402,0.060654
743.6039,0.061687
745.4676,0.062846
747.3312,0.063629
749.1949,0.063983
751.0586,0.064459
752.9222,0.064809
754.7859,0.065136
756.6496,0.065825
758.5132,0.066676
760.3769,0.068413
762.2406,0.070275
764.1043,0.072198
765.9679,0.075347
767.8316,0.079729
769.6953,0.085886
771.5589,0.094348
773.4226,0.104443
775.2863,0.111616
777.1499,0.108765
779.0136,0.095273
780.8773,0.080404
782.7409,0.070480
784.6046,0.065797
786.4683,0.064345
788.3320,0.064515
790.1956,0.065436
792.0593,0.067187
793.9230,0.069382
795.7866,0.072015
797.6503,0.075115
799.5140,0.078716
801.3776,0.083761
803.2413,0.091686
805.1050,0.103396
806.9686,0.118468
808.8323,0.127573
810.6960,0.114898
812.5596,0.085732
814.4233,0.062459
816.2870,0.051893
818.1507,0.048697
820.0143,0.048204
821.8780,0.048685
823.7417,0.050173
825.6053,0.052098
827.4690,0.054140
829.3327,0.056345
831.1963,0.057921
833.0600,0.059049
834.9237,0.060675
836.7873,0.063493
838.6510,0.067258
840.5147,0.071934
842.3784,0.077560
844.2420,0.083652
846.1057,0.087543
847.9694,0.086724
849.8330,0.080488
