Wavenumber,Intensity
650.4205,0.102011
652.2841,0.101067
654.1478,0.100037
656.0115,0.098796
657.8751,0.098124
659.7388,0.097919
661.6025,0.096823
663.4661,0.095169
665.3298,0.094199
667.1935,0.093677
669.0571,0.093524
670.9208,0.092558
672.7845,0.092060
674.6481,0.090324
676.5118,0.090515
678.3755,0.091842
680.2392,0.090588
682.1028,0.087801
683.9665,0.087438
685.8302,0.087302
687.6938,0.087027
689.5575,0.087542
691.4212,0.088216
693.2848,0.086857
695.1485,0.086809
697.0122,0.088026
698.8758,0.088517
700.7395,0.086675
702.6032,0.085777
704.4669,0.085973
706.3305,0.084951
708.1942,0.083242
710.0579,0.081655
711.9215,0.080381
713.7852,0.079208
715.6489,0.077513
717.5125,0.075737
719.3762,0.075028
721.2399,0.074188
723.1035,0.072634
724.9672,0.072051
726.8309,0.071920
728.6945,0.071058
730.5582,0.069543
732.4219,0.068814
734.2856,0.069150
736.1492,0.069348
738.0129,0.068645
739.8766,0.068334
741.7402,0.068474
743.6039,0.068454
745.4676,0.067985
747.3312,0.068069
749.1949,0.068082
751.0586,0.067272
752.9222,0.066578
754.7859,0.066328
756.6496,0.065555
758.5132,0.065323
760.3769,0.065504
762.2406,0.065301
764.1043,0.064333
765.9679,0.063518
767.8316,0.063693
769.6953,0.064150
771.5589,0.063825
773.4226,0.063862
775.2863,0.063956
777.1499,0.064090
779.0136,0.065060
780.8773,0.065883
782.7409,0.065761
784.6046,0.065836
786.4683,0.066004
788.3320,0.066320
790.1956,0.066644
792.0593,0.066565
793.9230,0.066063
795.7866,0.065760
797.6503,0.065297
799.5140,0.064917
801.3776,0.064638
803.2413,0.064376
805.1050,0.063772
806.9686,0.063325
808.8323,0.062830
810.6960,0.062121
812.5596,0.061431
814.4233,0.060826
816.2870,0.059788
818.1507,0.059226
820.0143,0.058754
821.8780,0.058000
823.7417,0.057601
825.6053,0.057057
827.4690,0.056322
829.3327,0.055581
831.1963,0.054641
833.0600,0.053438
834.9237,0.052386
836.7873,0.051583
